routing,ts,type,attacker,attacker_ip,target,target_ip,proto,duration_sec,details,severity,is_anomaly,sim_hour
l2_learn,1785385466.1387691,port_scan,home2,10.9.0.2,root1,10.1.0.1,tcp,8,ports=326-343,medium,True,1.4
l2_learn,1785385472.16253,udp_flood,corp2,10.7.0.2,cdn1,10.4.0.1,udp,9,port=123 count=138,critical,True,1.5
l2_learn,1785385502.1630814,udp_flood,corp2,10.7.0.2,cdn1,10.4.0.1,udp,2,port=53 count=158,critical,True,2.0
l2_learn,1785385541.275257,udp_flood,home1,10.9.0.1,cdn1,10.4.0.1,udp,14,port=1900 count=138,critical,True,2.7
l2_learn,1785385553.1301582,ping_sweep,mob1,10.8.0.1,origin,10.5.0.1,icmp,6,subnet=10.5.0.0/24,low,True,2.9
l2_learn,1785385566.6917212,slowloris,home1,10.9.0.1,root1,10.1.0.1,tcp,11,slowloris_connections,high,True,3.1
l2_learn,1785385578.1792903,slowloris,mob2,10.8.0.2,cdn1,10.4.0.1,tcp,5,slowloris_connections,high,True,3.3
l2_learn,1785385583.181318,port_scan,corp2,10.7.0.2,cdn1,10.4.0.1,tcp,2,ports=842-862,medium,True,3.4
l2_learn,1785385588.1815426,udp_flood,home2,10.9.0.2,root1,10.1.0.1,udp,8,port=123 count=115,critical,True,3.5
l2_learn,1785385598.1835573,ping_sweep,home1,10.9.0.1,isp_gw,10.2.0.1,icmp,11,subnet=10.2.0.0/24,low,True,3.6
l2_learn,1785385606.1881306,ping_sweep,corp2,10.7.0.2,cdn1,10.4.0.1,icmp,9,subnet=10.4.0.0/24,low,True,3.8
l2_learn,1785385621.2225704,dns_amplify,mob2,10.8.0.2,cdn2,10.4.0.2,udp,8,dns_amplification,high,True,4.0
l2_learn,1785385659.0786164,brute_force,mob1,10.8.0.1,cdn1,10.4.0.1,tcp,3,http_brute_force,high,True,4.7
l2_learn,1785385707.4701169,ping_sweep,corp1,10.7.0.1,origin,10.5.0.1,icmp,13,subnet=10.5.0.0/24,low,True,5.5
l2_learn,1785385740.5181203,data_exfil,corp2,10.7.0.2,origin,10.5.0.1,tcp,7,exfil_rate=554K,critical,True,6.0
l2_learn,1785385749.7228518,dns_amplify,home1,10.9.0.1,cdn1,10.4.0.1,udp,14,dns_amplification,high,True,6.2
l2_learn,1785385764.8939586,syn_flood,home2,10.9.0.2,cdn2,10.4.0.2,tcp,13,port=8080 count=150,critical,True,6.4
l2_learn,1785385787.9193597,dns_amplify,home1,10.9.0.1,cdn1,10.4.0.1,udp,7,dns_amplification,high,True,6.8
l2_learn,1785385801.9208782,slowloris,corp2,10.7.0.2,cdn1,10.4.0.1,tcp,2,slowloris_connections,high,True,7.0
l2_learn,1785385819.9218123,syn_flood,home2,10.9.0.2,cdn2,10.4.0.2,tcp,6,port=80 count=85,critical,True,7.3
l2_learn,1785385860.4024236,syn_flood,mob1,10.8.0.1,cdn1,10.4.0.1,tcp,6,port=22 count=77,critical,True,8.0
l2_learn,1785385893.4637015,dns_amplify,mob1,10.8.0.1,root1,10.1.0.1,udp,15,dns_amplification,high,True,8.6
