routing,ts,host,host_ip,LISTEN,SYN-SENT,SYN-RECV,ESTAB,FIN-WAIT-1,FIN-WAIT-2,CLOSE-WAIT,CLOSING,LAST-ACK,TIME-WAIT,CLOSED,total_connections,active_connections
l2_learn,1785385388.039214,isp_gw,10.2.0.1,3,0,0,2,0,0,0,0,0,0,0,5,2
l2_learn,1785385388.0404963,cdn1,10.4.0.1,3,0,0,3,0,0,0,0,0,1,0,7,3
l2_learn,1785385388.0416305,corp1,10.7.0.1,0,0,0,2,0,0,0,0,0,0,0,2,2
l2_learn,1785385388.0428135,mob1,10.8.0.1,0,0,0,1,0,0,0,0,0,0,0,1,1
l2_learn,1785385396.0445378,cdn1,10.4.0.1,3,0,0,2,0,0,0,0,0,2,0,7,2
l2_learn,1785385396.0466611,cdn2,10.4.0.2,3,0,0,3,0,0,0,0,0,2,0,8,3
l2_learn,1785385396.0484228,corp1,10.7.0.1,0,0,0,3,0,0,0,0,0,0,0,3,3
l2_learn,1785385396.0496542,corp2,10.7.0.2,0,0,0,3,0,0,0,0,0,2,0,5,3
l2_learn,1785385404.2428217,mob1,10.8.0.1,0,0,0,2,0,0,0,0,0,1,0,3,2
l2_learn,1785385404.25472,corp1,10.7.0.1,0,0,0,2,0,0,0,0,0,1,0,3,2
l2_learn,1785385404.2875824,cdn1,10.4.0.1,3,0,0,2,0,0,0,0,0,3,0,8,2
l2_learn,1785385404.2905433,isp_gw,10.2.0.1,3,0,0,2,0,0,0,0,0,2,0,7,2
l2_learn,1785385412.2971935,origin,10.5.0.1,3,0,0,2,0,0,0,0,0,2,0,7,2
l2_learn,1785385412.2992618,corp1,10.7.0.1,0,0,0,2,0,0,0,0,0,1,0,3,2
l2_learn,1785385412.370664,root1,10.1.0.1,3,0,0,1,0,0,0,0,0,4,0,8,1
l2_learn,1785385412.3997626,cdn2,10.4.0.2,3,0,0,0,0,0,0,0,0,4,0,7,0
l2_learn,1785385420.4581878,isp_gw,10.2.0.1,3,0,0,3,0,0,0,0,0,5,0,11,3
l2_learn,1785385420.4747574,corp1,10.7.0.1,0,0,0,6,0,0,0,0,0,1,0,7,6
l2_learn,1785385420.47931,origin,10.5.0.1,3,0,0,2,0,0,0,0,0,3,0,8,2
l2_learn,1785385420.4831665,home1,10.9.0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
l2_learn,1785385428.5101206,corp2,10.7.0.2,0,0,0,6,0,0,0,0,0,4,0,10,6
l2_learn,1785385428.5135057,isp_gw,10.2.0.1,3,0,0,3,0,0,0,0,0,6,0,12,3
