routing,ts,client,client_ip,dns_server,dns_server_ip,domain,query_type,ttl,response_time_ms,cache_hit,source,rcode,is_suspicious
l2_learn,1785385380.03154,mob1,10.8.0.1,root1,10.1.0.1,video.stream.tv,A,30,472.79,,authoritative,NOERROR,False
l2_learn,1785385384.1581688,corp1,10.7.0.1,root1,10.1.0.1,mail.example.com,MX,3600,124.46,,recursive,REFUSED,False
l2_learn,1785385387.3154726,corp1,10.7.0.1,root1,10.1.0.1,login.secure.bank,A,180,0.02,,authoritative,NOERROR,False
l2_learn,1785385391.166204,corp1,10.7.0.1,root1,10.1.0.1,c2.hidden.onion,A,0,77.71,,recursive,NOERROR,True
l2_learn,1785385393.8963373,corp2,10.7.0.2,root1,10.1.0.1,mail.example.com,MX,3600,0.05,,recursive,NOERROR,False
l2_learn,1785385395.091492,home1,10.9.0.1,root1,10.1.0.1,news.portal.org,A,90,110.12,,authoritative,NOERROR,False
l2_learn,1785385398.7577477,home2,10.9.0.2,root1,10.1.0.1,c2.hidden.onion,A,0,121.32,,authoritative,NOERROR,True
l2_learn,1785385402.3098557,corp2,10.7.0.2,root1,10.1.0.1,game.server.gg,A,15,108.51,,recursive,NOERROR,False
l2_learn,1785385405.8260982,home2,10.9.0.2,root1,10.1.0.1,example.com,A,300,0.02,,authoritative,NOERROR,False
l2_learn,1785385407.173709,corp1,10.7.0.1,root1,10.1.0.1,mail.example.com,MX,3600,0.35,True,cache,NOERROR,False
l2_learn,1785385410.334751,mob1,10.8.0.1,root1,10.1.0.1,cdn.example.com,CNAME,60,676.36,,recursive,NOERROR,False
l2_learn,1785385414.1694615,corp1,10.7.0.1,root1,10.1.0.1,video.stream.tv,A,30,45.79,,authoritative,NOERROR,False
l2_learn,1785385416.1396549,corp1,10.7.0.1,root1,10.1.0.1,cloud.storage.io,AAAA,120,44.29,,authoritative,SERVFAIL,False
l2_learn,1785385418.5524368,home2,10.9.0.2,root1,10.1.0.1,video.stream.tv,A,30,120.4,,authoritative,NOERROR,False
l2_learn,1785385423.082086,home1,10.9.0.1,root1,10.1.0.1,malware.bad.evil,A,0,287.42,,recursive,SERVFAIL,True
l2_learn,1785385425.313184,mob1,10.8.0.1,root1,10.1.0.1,login.secure.bank,A,180,0.04,,recursive,NOERROR,False
l2_learn,1785385426.3953135,corp1,10.7.0.1,root1,10.1.0.1,login.secure.bank,A,180,0.33,True,cache,NOERROR,False
l2_learn,1785385428.5416098,mob2,10.8.0.2,root1,10.1.0.1,news.portal.org,A,90,432.55,,authoritative,NOERROR,False
l2_learn,1785385430.8401537,mob2,10.8.0.2,root1,10.1.0.1,social.media.app,A,60,186.15,,authoritative,NOERROR,False
l2_learn,1785385434.092289,mob2,10.8.0.2,root1,10.1.0.1,api.service.io,A,120,191.18,,authoritative,NOERROR,False
l2_learn,1785385436.5700843,corp2,10.7.0.2,root1,10.1.0.1,iot-hub.device.net,A,600,1540.04,,recursive,NOERROR,False
l2_learn,1785385441.4061103,home2,10.9.0.2,root1,10.1.0.1,video.stream.tv,A,30,0.35,True,cache,NOERROR,False
l2_learn,1785385442.890904,corp2,10.7.0.2,root1,10.1.0.1,search.engine.com,A,45,2282.3,,authoritative,NOERROR,False
l2_learn,1785385445.8570838,mob1,10.8.0.1,root1,10.1.0.1,iot-hub.device.net,A,600,0.02,,authoritative,NOERROR,False
l2_learn,1785385446.575947,mob2,10.8.0.2,root1,10.1.0.1,game.server.gg,A,15,465.78,,recursive,NOERROR,False
l2_learn,1785385447.95008,corp1,10.7.0.1,root1,10.1.0.1,login.secure.bank,A,180,0.23,True,cache,NOERROR,False
l2_learn,1785385451.4691231,corp1,10.7.0.1,root1,10.1.0.1,cloud.storage.io,AAAA,120,0.11,True,cache,NOERROR,False
l2_learn,1785385452.3714535,mob2,10.8.0.2,root1,10.1.0.1,api.service.io,A,120,0.43,True,cache,NOERROR,False
l2_learn,1785385452.9077728,corp1,10.7.0.1,root1,10.1.0.1,news.portal.org,A,90,110.14,,recursive,NOERROR,False
l2_learn,1785385456.2501202,home1,10.9.0.1,root1,10.1.0.1,search.engine.com,A,45,111.21,,authoritative,NOERROR,False
l2_learn,1785385457.6780994,corp1,10.7.0.1,root1,10.1.0.1,video.stream.tv,A,30,64.0,False,authoritative,NOERROR,False
l2_learn,1785385460.3043773,corp1,10.7.0.1,root1,10.1.0.1,cdn.example.com,CNAME,60,51.33,,authoritative,NOERROR,False
l2_learn,1785385462.5051682,home2,10.9.0.2,root1,10.1.0.1,login.secure.bank,A,180,2497.23,,recursive,NOERROR,False
l2_learn,1785385465.5501018,mob1,10.8.0.1,root1,10.1.0.1,search.engine.com,A,45,1028.67,,authoritative,NOERROR,False
l2_learn,1785385470.294152,mob1,10.8.0.1,root1,10.1.0.1,example.com,A,300,364.26,,recursive,NOERROR,False
l2_learn,1785385471.920082,corp1,10.7.0.1,root1,10.1.0.1,social.media.app,A,60,0.02,,recursive,NOERROR,False
l2_learn,1785385474.0173275,home2,10.9.0.2,root1,10.1.0.1,news.portal.org,A,90,122.79,,authoritative,NOERROR,False
l2_learn,1785385476.4501405,mob2,10.8.0.2,root1,10.1.0.1,social.media.app,A,60,0.1,True,cache,NOERROR,False
l2_learn,1785385478.110116,corp2,10.7.0.2,root1,10.1.0.1,api.service.io,A,120,51.68,,authoritative,NOERROR,False
l2_learn,1785385480.8925889,corp1,10.7.0.1,root1,10.1.0.1,cloud.storage.io,AAAA,120,0.23,True,cache,NOERROR,False
l2_learn,1785385484.2460897,corp2,10.7.0.2,root1,10.1.0.1,login.secure.bank,A,180,49.71,,authoritative,NOERROR,False
l2_learn,1785385486.4780948,home1,10.9.0.1,root1,10.1.0.1,malware.bad.evil,A,0,218.71,False,recursive,NXDOMAIN,True
l2_learn,1785385489.3085527,corp2,10.7.0.2,root1,10.1.0.1,example.com,A,300,46.61,,authoritative,NOERROR,False
l2_learn,1785385490.3866866,corp2,10.7.0.2,root1,10.1.0.1,c2.hidden.onion,A,0,49.44,,authoritative,NXDOMAIN,True
l2_learn,1785385493.7302673,home1,10.9.0.1,root1,10.1.0.1,example.com,A,300,1003.83,,authoritative,NOERROR,False
l2_learn,1785385496.400465,home2,10.9.0.2,root1,10.1.0.1,c2.hidden.onion,A,0,122.77,False,authoritative,NXDOMAIN,True
l2_learn,1785385499.8142526,mob2,10.8.0.2,root1,10.1.0.1,video.stream.tv,A,30,871.89,,authoritative,NOERROR,False
l2_learn,1785385502.4500835,mob1,10.8.0.1,root1,10.1.0.1,c2.hidden.onion,A,0,0.02,,recursive,NXDOMAIN,True
l2_learn,1785385506.0701213,home1,10.9.0.1,root1,10.1.0.1,example.com,A,300,0.14,True,cache,NOERROR,False
l2_learn,1785385509.1310685,corp1,10.7.0.1,root1,10.1.0.1,example.com,A,300,1330.79,,recursive,NOERROR,False
l2_learn,1785385512.0741005,mob2,10.8.0.2,root1,10.1.0.1,social.media.app,A,60,198.27,False,authoritative,NOERROR,False
l2_learn,1785385514.825137,home2,10.9.0.2,root1,10.1.0.1,news.portal.org,A,90,0.4,True,cache,NOERROR,False
l2_learn,1785385516.0215342,mob1,10.8.0.1,root1,10.1.0.1,cdn.example.com,CNAME,60,421.8,False,authoritative,NOERROR,False
l2_learn,1785385517.286091,mob1,10.8.0.1,root1,10.1.0.1,search.engine.com,A,45,148.09,False,authoritative,NOERROR,False
l2_learn,1785385520.114086,home1,10.9.0.1,root1,10.1.0.1,malware.bad.evil,A,0,0.01,False,authoritative,SERVFAIL,True
l2_learn,1785385523.3955464,home1,10.9.0.1,root1,10.1.0.1,search.engine.com,A,45,162.77,False,authoritative,NOERROR,False
l2_learn,1785385526.101043,home1,10.9.0.1,root1,10.1.0.1,malware.bad.evil,A,0,0.01,False,authoritative,NOERROR,True
