ts,src,dst,routing,num_switch_hops,theoretical_rtt_ms,bottleneck_bw_mbps,real_rtt_ms,real_loss_pct,hop_num,hop_from,hop_to,hop_type,hop_as,hop_role,hop_bw_mbps,hop_delay_ms,hop_loss_pct,hop_jitter_ms,hop_queue_size
1785385145.26844,root1,isp_gw,l2_learn,2,13.0,40,60.709,0.0,0,root1,s1,access,100,tier1_core,50,0.5,0.0,0.0,0
1785385145.26844,root1,isp_gw,l2_learn,2,13.0,40,60.709,0.0,1,s1,s2,backbone,200,tier2_border,80,5.0,0.01,1.0,100
1785385145.26844,root1,isp_gw,l2_learn,2,13.0,40,60.709,0.0,2,s2,isp_gw,access,200,tier2_border,40,1.0,0.0,0.0,0
1785385147.3348832,isp_gw,root1,l2_learn,2,13.0,40,59.767,0.0,0,isp_gw,s2,access,200,tier2_border,40,1.0,0.0,0.0,0
1785385147.3348832,isp_gw,root1,l2_learn,2,13.0,40,59.767,0.0,1,s2,s1,backbone,100,tier1_core,80,5.0,0.01,1.0,100
1785385147.3348832,isp_gw,root1,l2_learn,2,13.0,40,59.767,0.0,2,s1,root1,access,100,tier1_core,50,0.5,0.0,0.0,0
1785385149.3514075,root1,cdn1,l2_learn,2,7.4,50,8.476,0.0,0,root1,s1,access,100,tier1_core,50,0.5,0.0,0.0,0
1785385149.3514075,root1,cdn1,l2_learn,2,7.4,50,8.476,0.0,1,s1,s4,backbone,300,cdn_edge,60,3.0,0.005,0.5,80
1785385149.3514075,root1,cdn1,l2_learn,2,7.4,50,8.476,0.0,2,s4,cdn1,access,300,cdn_edge,80,0.2,0.0,0.0,0
1785385151.3658743,cdn1,root1,l2_learn,2,7.4,50,7.951,0.0,0,cdn1,s4,access,300,cdn_edge,80,0.2,0.0,0.0,0
1785385151.3658743,cdn1,root1,l2_learn,2,7.4,50,7.951,0.0,1,s4,s1,backbone,100,tier1_core,60,3.0,0.005,0.5,80
1785385151.3658743,cdn1,root1,l2_learn,2,7.4,50,7.951,0.0,2,s1,root1,access,100,tier1_core,50,0.5,0.0,0.0,0
1785385153.3800204,root1,cdn2,l2_learn,2,7.4,50,7.931,0.0,0,root1,s1,access,100,tier1_core,50,0.5,0.0,0.0,0
1785385153.3800204,root1,cdn2,l2_learn,2,7.4,50,7.931,0.0,1,s1,s4,backbone,300,cdn_edge,60,3.0,0.005,0.5,80
1785385153.3800204,root1,cdn2,l2_learn,2,7.4,50,7.931,0.0,2,s4,cdn2,access,300,cdn_edge,80,0.2,0.0,0.0,0
1785385155.394851,cdn2,root1,l2_learn,2,7.4,50,8.179,0.0,0,cdn2,s4,access,300,cdn_edge,80,0.2,0.0,0.0,0
1785385155.394851,cdn2,root1,l2_learn,2,7.4,50,8.179,0.0,1,s4,s1,backbone,100,tier1_core,60,3.0,0.005,0.5,80
