routing,ts,conn_id,client,client_ip,server,server_ip,method,url,port,status_code,response_time_ms,bytes_transferred,keep_alive,user_agent,tls
l2_learn,1785385380.3442175,1,mob1,10.8.0.1,cdn2,10.4.0.2,GET,/small.bin,80,301,312.8,5120,False,python-requests/2.31,True
l2_learn,1785385381.969012,2,home2,10.9.0.2,cdn1,10.4.0.1,GET,/index.html,80,200,235.41,100,True,curl/8.0,False
l2_learn,1785385383.127478,3,home2,10.9.0.2,root1,10.1.0.1,GET,/medium.bin,80,200,497.77,51200,True,curl/8.0,True
l2_learn,1785385385.463495,4,mob2,10.8.0.2,origin,10.5.0.1,POST,/large.bin,80,200,998.64,204800,False,Chrome/125,False
l2_learn,1785385387.7032971,5,corp1,10.7.0.1,origin,10.5.0.1,POST,/small.bin,80,200,948.39,5120,True,curl/8.0,True
l2_learn,1785385388.9164605,6,mob2,10.8.0.2,cdn1,10.4.0.1,GET,/small.bin,80,200,366.45,5120,True,curl/8.0,True
l2_learn,1785385390.2108772,7,home2,10.9.0.2,cdn2,10.4.0.2,GET,/medium.bin,80,500,461.9,51200,False,curl/8.0,True
l2_learn,1785385392.0919812,8,mob1,10.8.0.1,origin,10.5.0.1,POST,/medium.bin,80,200,935.96,51200,True,Mozilla/5.0,True
l2_learn,1785385394.0248346,9,corp2,10.7.0.2,isp_gw,10.2.0.1,GET,/large.bin,80,200,1298.24,204800,True,curl/8.0,True
l2_learn,1785385395.1951728,10,home1,10.9.0.1,isp_gw,10.2.0.1,GET,/medium.bin,80,200,0.01,51200,True,curl/8.0,True
l2_learn,1785385395.9571595,11,home1,10.9.0.1,root1,10.1.0.1,GET,/index.html,80,200,222.15,100,True,Chrome/125,False
l2_learn,1785385396.3545327,12,home2,10.9.0.2,cdn1,10.4.0.1,GET,/small.bin,80,200,0.02,5120,True,curl/8.0,True
l2_learn,1785385396.8452294,13,corp1,10.7.0.1,isp_gw,10.2.0.1,GET,/large.bin,80,200,188.7,204800,True,curl/8.0,True
l2_learn,1785385397.643186,14,corp1,10.7.0.1,cdn1,10.4.0.1,GET,/index.html,80,200,0.02,100,True,python-requests/2.31,False
l2_learn,1785385398.6364987,15,corp2,10.7.0.2,cdn2,10.4.0.2,GET,/medium.bin,80,200,167.19,51200,False,curl/8.0,False
l2_learn,1785385400.1349473,16,corp1,10.7.0.1,cdn2,10.4.0.2,GET,/medium.bin,80,200,152.38,51200,True,curl/8.0,True
l2_learn,1785385401.6223686,17,mob2,10.8.0.2,origin,10.5.0.1,GET,/index.html,80,200,927.54,100,True,curl/8.0,False
l2_learn,1785385402.6842473,18,mob1,10.8.0.1,cdn1,10.4.0.1,GET,/medium.bin,80,200,601.01,51200,True,Mozilla/5.0,True
l2_learn,1785385406.1103022,19,home2,10.9.0.2,cdn1,10.4.0.1,GET,/large.bin,80,200,2435.52,204800,True,Chrome/125,False
l2_learn,1785385406.8706234,20,mob2,10.8.0.2,isp_gw,10.2.0.1,GET,/index.html,80,200,276.76,100,True,Mozilla/5.0,False
l2_learn,1785385409.055113,21,home2,10.9.0.2,isp_gw,10.2.0.1,GET,/index.html,80,200,691.77,100,False,Chrome/125,False
l2_learn,1785385410.4797196,22,home1,10.9.0.1,root1,10.1.0.1,GET,/index.html,80,200,225.53,100,False,curl/8.0,False
l2_learn,1785385411.8284657,23,mob1,10.8.0.1,root1,10.1.0.1,GET,/index.html,80,200,498.35,100,True,Chrome/125,False
l2_learn,1785385413.416966,24,home2,10.9.0.2,isp_gw,10.2.0.1,GET,/large.bin,80,200,813.64,204800,False,python-requests/2.31,True
l2_learn,1785385414.2743156,25,mob1,10.8.0.1,cdn2,10.4.0.2,GET,/small.bin,80,404,371.54,5120,True,python-requests/2.31,False
l2_learn,1785385415.999465,26,mob2,10.8.0.2,origin,10.5.0.1,GET,/index.html,80,200,444.87,100,True,Mozilla/5.0,False
l2_learn,1785385420.4521232,27,mob2,10.8.0.2,isp_gw,10.2.0.1,POST,/small.bin,80,200,3215.47,5120,False,Mozilla/5.0,True
l2_learn,1785385424.1517572,28,corp1,10.7.0.1,origin,10.5.0.1,POST,/large.bin,80,200,2456.0,204800,True,python-requests/2.31,False
l2_learn,1785385427.4044473,29,corp2,10.7.0.2,isp_gw,10.2.0.1,GET,/medium.bin,80,304,146.32,51200,True,python-requests/2.31,True
l2_learn,1785385428.8086932,30,corp1,10.7.0.1,cdn1,10.4.0.1,GET,/medium.bin,80,200,153.91,51200,True,python-requests/2.31,False
l2_learn,1785385429.9341204,31,home1,10.9.0.1,origin,10.5.0.1,GET,/small.bin,80,503,267.05,5120,True,Chrome/125,True
l2_learn,1785385431.3137932,32,home1,10.9.0.1,isp_gw,10.2.0.1,GET,/large.bin,80,200,402.4,204800,False,curl/8.0,True
l2_learn,1785385438.8595812,33,mob1,10.8.0.1,cdn2,10.4.0.2,GET,/small.bin,80,200,6310.32,5120,False,python-requests/2.31,False
l2_learn,1785385442.2303014,34,mob2,10.8.0.2,root1,10.1.0.1,POST,/index.html,80,200,2246.52,100,True,Chrome/125,False
l2_learn,1785385442.662103,35,corp2,10.7.0.2,cdn2,10.4.0.2,GET,/index.html,80,200,111.89,100,True,python-requests/2.31,False
l2_learn,1785385444.6189158,36,home2,10.9.0.2,isp_gw,10.2.0.1,GET,/medium.bin,80,500,1284.81,51200,True,Chrome/125,False
l2_learn,1785385445.9526343,37,home2,10.9.0.2,root1,10.1.0.1,GET,/small.bin,80,200,645.53,5120,True,python-requests/2.31,True
l2_learn,1785385451.470966,38,corp1,10.7.0.1,root1,10.1.0.1,GET,/large.bin,80,200,4408.43,204800,False,Chrome/125,False
l2_learn,1785385454.810116,39,corp2,10.7.0.2,root1,10.1.0.1,GET,/large.bin,80,200,2039.53,204800,False,curl/8.0,False
l2_learn,1785385457.8031292,40,mob2,10.8.0.2,cdn2,10.4.0.2,GET,/index.html,80,200,1539.87,100,True,Mozilla/5.0,False
l2_learn,1785385459.4933422,41,home1,10.9.0.1,origin,10.5.0.1,GET,/large.bin,80,200,618.89,204800,True,Chrome/125,True
l2_learn,1785385462.230173,42,corp2,10.7.0.2,cdn2,10.4.0.2,GET,/small.bin,80,200,2284.51,5120,True,python-requests/2.31,True
l2_learn,1785385467.2586205,43,mob2,10.8.0.2,cdn1,10.4.0.1,POST,/large.bin,80,200,4343.85,204800,False,curl/8.0,True
l2_learn,1785385468.387839,44,mob2,10.8.0.2,isp_gw,10.2.0.1,GET,/small.bin,80,200,281.73,5120,False,curl/8.0,False
l2_learn,1785385469.9808066,45,corp1,10.7.0.1,cdn2,10.4.0.2,GET,/medium.bin,80,200,152.64,51200,False,curl/8.0,False
l2_learn,1785385470.5517452,46,home2,10.9.0.2,cdn1,10.4.0.1,GET,/medium.bin,80,200,0.01,51200,True,Chrome/125,True
l2_learn,1785385471.4074304,47,corp2,10.7.0.2,cdn2,10.4.0.2,GET,/large.bin,80,200,525.1,204800,False,curl/8.0,False
l2_learn,1785385471.959018,48,corp1,10.7.0.1,cdn2,10.4.0.2,GET,/medium.bin,80,200,156.59,51200,True,curl/8.0,True
l2_learn,1785385473.1820953,49,mob2,10.8.0.2,cdn1,10.4.0.1,GET,/large.bin,80,200,0.01,204800,True,Mozilla/5.0,True
l2_learn,1785385475.692237,50,mob2,10.8.0.2,root1,10.1.0.1,POST,/small.bin,80,200,2156.01,5120,True,curl/8.0,True
l2_learn,1785385479.5548463,51,mob2,10.8.0.2,isp_gw,10.2.0.1,GET,/large.bin,80,301,2679.94,204800,True,python-requests/2.31,False
l2_learn,1785385480.8379514,52,home1,10.9.0.1,cdn2,10.4.0.2,GET,/index.html,80,200,359.31,100,True,Chrome/125,False
l2_learn,1785385482.590615,53,corp1,10.7.0.1,root1,10.1.0.1,GET,/large.bin,80,200,412.93,204800,True,Chrome/125,False
l2_learn,1785385484.76524,54,mob2,10.8.0.2,origin,10.5.0.1,POST,/large.bin,80,200,1540.64,204800,True,curl/8.0,False
l2_learn,1785385486.0583613,55,corp2,10.7.0.2,root1,10.1.0.1,GET,/medium.bin,80,200,190.13,51200,True,Mozilla/5.0,True
l2_learn,1785385488.5008192,56,corp2,10.7.0.2,isp_gw,10.2.0.1,POST,/index.html,80,200,1642.71,100,False,curl/8.0,False
l2_learn,1785385490.8187244,57,home2,10.9.0.2,cdn1,10.4.0.1,GET,/medium.bin,80,200,1470.18,51200,True,curl/8.0,True
l2_learn,1785385491.727372,58,corp2,10.7.0.2,isp_gw,10.2.0.1,GET,/large.bin,80,200,195.76,204800,False,python-requests/2.31,False
l2_learn,1785385493.386421,59,mob2,10.8.0.2,root1,10.1.0.1,GET,/small.bin,80,200,383.89,5120,True,curl/8.0,True
l2_learn,1785385494.8448515,60,corp1,10.7.0.1,cdn1,10.4.0.1,GET,/index.html,80,503,82.79,100,False,Chrome/125,False
l2_learn,1785385495.4871693,61,corp1,10.7.0.1,origin,10.5.0.1,GET,/medium.bin,80,200,164.57,51200,True,Chrome/125,True
l2_learn,1785385496.4753904,62,mob1,10.8.0.1,root1,10.1.0.1,GET,/medium.bin,80,200,626.76,51200,False,Mozilla/5.0,False
l2_learn,1785385499.7699854,63,mob1,10.8.0.1,cdn2,10.4.0.2,POST,/large.bin,80,200,2873.76,204800,True,Chrome/125,True
l2_learn,1785385501.025808,64,home2,10.9.0.2,cdn2,10.4.0.2,GET,/medium.bin,80,200,465.46,51200,False,Chrome/125,True
l2_learn,1785385503.539136,65,mob1,10.8.0.1,cdn2,10.4.0.2,GET,/large.bin,80,200,1164.51,204800,True,Mozilla/5.0,True
l2_learn,1785385504.332969,66,corp1,10.7.0.1,cdn2,10.4.0.2,GET,/medium.bin,80,200,208.23,51200,True,Chrome/125,True
l2_learn,1785385506.2624202,67,mob2,10.8.0.2,root1,10.1.0.1,GET,/index.html,80,304,1289.43,100,False,Chrome/125,False
l2_learn,1785385525.3598764,68,home2,10.9.0.2,isp_gw,10.2.0.1,GET,/index.html,80,200,17959.67,100,True,python-requests/2.31,False
