routing,ts,event,link,duration,reorder_pct,gap,delay_add,loss_add,jitter,correlation,mtu,duplicate_pct
l2_learn,1785385506.3223405,packet_reorder,s3-s8,5,6.0,4.0,,,,,,
l2_learn,1785385511.451606,packet_reorder_end,s3-s8,0,,,,,,,,
l2_learn,1785385565.0741136,link_degrade,s6-s7,18,,,21.0,1.12,,,,
l2_learn,1785385583.0815964,link_degrade_end,s6-s7,0,,,,,,,,
l2_learn,1785385668.2980995,congestion,s6-s7,18,,,26.0,3.07,,,,
l2_learn,1785385686.8661284,congestion_end,s6-s7,0,,,,,,,,
l2_learn,1785385687.7943516,micro_burst,s6-s4,5,,,74.0,10.51,,,,
l2_learn,1785385692.9000654,micro_burst_end,s6-s4,0,,,,,,,,
l2_learn,1785385897.6713324,route_change,s6-s4,5,,,12.0,1.01,,,,
l2_learn,1785385902.8471086,route_change_end,s6-s4,0,,,,,,,,
l2_learn,1785386005.0382795,buffer_bloat,s1-s4,24,,,67.0,,,,,
l2_learn,1785386029.287584,buffer_bloat_end,s1-s4,0,,,,,,,,
l2_learn,1785386112.074017,buffer_bloat,s3-s8,36,,,197.0,,,,,
l2_learn,1785386148.1000686,buffer_bloat_end,s3-s8,0,,,,,,,,
l2_learn,1785386430.8245816,link_flap_start,s2-s3,4,,,,,,,,
l2_learn,1785386436.3500948,link_flap_end,s2-s3,0,,,,,,,,
l2_learn,1785386561.5871527,congestion,s4-s5,24,,,69.0,4.81,,,,
l2_learn,1785386577.594635,micro_burst,s3-s8,3,,,106.0,7.87,,,,
l2_learn,1785386581.3915436,micro_burst_end,s3-s8,0,,,,,,,,
l2_learn,1785386586.6381474,congestion_end,s4-s5,0,,,,,,,,
l2_learn,1785386617.0087683,buffer_bloat,s2-s3,25,,,119.0,,,,,
l2_learn,1785386642.6469471,buffer_bloat_end,s2-s3,0,,,,,,,,
l2_learn,1785388702.4074397,route_change,s3-s8,10,,,20.0,1.72,,,,
l2_learn,1785388712.4180338,route_change_end,s3-s8,0,,,,,,,,
rip,1785385455.4260993,congestion,s6-s7,15,,,66.0,2.9,,,,
rip,1785385472.4520874,congestion_end,s6-s7,0,,,,,,,,
rip,1785385656.6273272,buffer_bloat,s1-s8,13,,,133.0,,,,,
rip,1785385669.642852,buffer_bloat_end,s1-s8,0,,,,,,,,
rip,1785385940.1747022,jitter_spike,s1-s2,10,,,21.0,,28.7,40.0,,
rip,1785385950.3522637,jitter_spike_end,s1-s2,0,,,,,,,,
rip,1785386241.9918313,route_change,s1-s2,10,,,15.0,0.74,,,,
rip,1785386255.0988014,route_change_end,s1-s2,0,,,,,,,,
