ts,src,dst,src_ip,dst_ip,src_as,dst_as,routing,path_switches,as_path,num_switch_hops,num_total_hops,theoretical_delay_ms,theoretical_rtt_ms,theoretical_loss_pct,bottleneck_bw_mbps,real_rtt_ms,real_rtt_min,real_rtt_max,real_loss_pct,hops
1785385145.26844,root1,isp_gw,10.1.0.1,10.2.0.1,100,200,l2_learn,"[""s1"", ""s2""]","[100, 200]",2,3,6.5,13.0,0.01,40,60.709,60.083,61.934,0.0,"[{""hop"": 0, ""from"": ""root1"", ""to"": ""s1"", ""type"": ""access"", ""bw_mbps"": 50, ""delay_ms"": 0.5, ""loss_pct"": 0, ""as"": 100, ""role"": ""tier1_core""}, {""hop"": 1, ""from"": ""s1"", ""to"": ""s2"", ""type"": ""backbone"", ""bw_mbps"": 80, ""delay_ms"": 5.0, ""loss_pct"": 0.01, ""jitter_ms"": 1.0, ""queue_size"": 100, ""as"": 200, ""role"": ""tier2_border""}, {""hop"": 2, ""from"": ""s2"", ""to"": ""isp_gw"", ""type"": ""access"", ""bw_mbps"": 40, ""delay_ms"": 1.0, ""loss_pct"": 0, ""as"": 200, ""role"": ""tier2_border""}]"
1785385147.3348832,isp_gw,root1,10.2.0.1,10.1.0.1,200,100,l2_learn,"[""s2"", ""s1""]","[200, 100]",2,3,6.5,13.0,0.01,40,59.767,59.591,59.93,0.0,"[{""hop"": 0, ""from"": ""isp_gw"", ""to"": ""s2"", ""type"": ""access"", ""bw_mbps"": 40, ""delay_ms"": 1.0, ""loss_pct"": 0, ""as"": 200, ""role"": ""tier2_border""}, {""hop"": 1, ""from"": ""s2"", ""to"": ""s1"", ""type"": ""backbone"", ""bw_mbps"": 80, ""delay_ms"": 5.0, ""loss_pct"": 0.01, ""jitter_ms"": 1.0, ""queue_size"": 100, ""as"": 100, ""role"": ""tier1_core""}, {""hop"": 2, ""from"": ""s1"", ""to"": ""root1"", ""type"": ""access"", ""bw_mbps"": 50, ""delay_ms"": 0.5, ""loss_pct"": 0, ""as"": 100, ""role"": ""tier1_core""}]"
1785385149.3514075,root1,cdn1,10.1.0.1,10.4.0.1,100,300,l2_learn,"[""s1"", ""s4""]","[100, 300]",2,3,3.7,7.4,0.005,50,8.476,7.775,8.919,0.0,"[{""hop"": 0, ""from"": ""root1"", ""to"": ""s1"", ""type"": ""access"", ""bw_mbps"": 50, ""delay_ms"": 0.5, ""loss_pct"": 0, ""as"": 100, ""role"": ""tier1_core""}, {""hop"": 1, ""from"": ""s1"", ""to"": ""s4"", ""type"": ""backbone"", ""bw_mbps"": 60, ""delay_ms"": 3.0, ""loss_pct"": 0.005, ""jitter_ms"": 0.5, ""queue_size"": 80, ""as"": 300, ""role"": ""cdn_edge""}, {""hop"": 2, ""from"": ""s4"", ""to"": ""cdn1"", ""type"": ""access"", ""bw_mbps"": 80, ""delay_ms"": 0.2, ""loss_pct"": 0, ""as"": 300, ""role"": ""cdn_edge""}]"
1785385151.3658743,cdn1,root1,10.4.0.1,10.1.0.1,300,100,l2_learn,"[""s4"", ""s1""]","[300, 100]",2,3,3.7,7.4,0.005,50,7.951,7.498,8.62,0.0,"[{""hop"": 0, ""from"": ""cdn1"", ""to"": ""s4"", ""type"": ""access"", ""bw_mbps"": 80, ""delay_ms"": 0.2, ""loss_pct"": 0, ""as"": 300, ""role"": ""cdn_edge""}, {""hop"": 1, ""from"": ""s4"", ""to"": ""s1"", ""type"": ""backbone"", ""bw_mbps"": 60, ""delay_ms"": 3.0, ""loss_pct"": 0.005, ""jitter_ms"": 0.5, ""queue_size"": 80, ""as"": 100, ""role"": ""tier1_core""}, {""hop"": 2, ""from"": ""s1"", ""to"": ""root1"", ""type"": ""access"", ""bw_mbps"": 50, ""delay_ms"": 0.5, ""loss_pct"": 0, ""as"": 100, ""role"": ""tier1_core""}]"
1785385153.3800204,root1,cdn2,10.1.0.1,10.4.0.2,100,300,l2_learn,"[""s1"", ""s4""]","[100, 300]",2,3,3.7,7.4,0.005,50,7.931,7.739,8.256,0.0,"[{""hop"": 0, ""from"": ""root1"", ""to"": ""s1"", ""type"": ""access"", ""bw_mbps"": 50, ""delay_ms"": 0.5, ""loss_pct"": 0, ""as"": 100, ""role"": ""tier1_core""}, {""hop"": 1, ""from"": ""s1"", ""to"": ""s4"", ""type"": ""backbone"", ""bw_mbps"": 60, ""delay_ms"": 3.0, ""loss_pct"": 0.005, ""jitter_ms"": 0.5, ""queue_size"": 80, ""as"": 300, ""role"": ""cdn_edge""}, {""hop"": 2, ""from"": ""s4"", ""to"": ""cdn2"", ""type"": ""access"", ""bw_mbps"": 80, ""delay_ms"": 0.2, ""loss_pct"": 0, ""as"": 300, ""role"": ""cdn_edge""}]"
1785385155.394851,cdn2,root1,10.4.0.2,10.1.0.1,300,100,l2_learn,"[""s4"", ""s1""]","[300, 100]",2,3,3.7,7.4,0.005,50,8.179,7.956,8.547,0.0,"[{""hop"": 0, ""from"": ""cdn2"", ""to"": ""s4"", ""type"": ""access"", ""bw_mbps"": 80, ""delay_ms"": 0.2, ""loss_pct"": 0, ""as"": 300, ""role"": ""cdn_edge""}, {""hop"": 1, ""from"": ""s4"", ""to"": ""s1"", ""type"": ""backbone"", ""bw_mbps"": 60, ""delay_ms"": 3.0, ""loss_pct"": 0.005, ""jitter_ms"": 0.5, ""queue_size"": 80, ""as"": 100, ""role"": ""tier1_core""}, {""hop"": 2, ""from"": ""s1"", ""to"": ""root1"", ""type"": ""access"", ""bw_mbps"": 50, ""delay_ms"": 0.5, ""loss_pct"": 0, ""as"": 100, ""role"": ""tier1_core""}]"
1785385157.4117975,root1,origin,10.1.0.1,10.5.0.1,100,300,l2_learn,"[""s1"", ""s4"", ""s5""]","[100, 300]",3,4,5.0,10.0,0.006,50,10.867,10.495,11.594,0.0,"[{""hop"": 0, ""from"": ""root1"", ""to"": ""s1"", ""type"": ""access"", ""bw_mbps"": 50, ""delay_ms"": 0.5, ""loss_pct"": 0, ""as"": 100, ""role"": ""tier1_core""}, {""hop"": 1, ""from"": ""s1"", ""to"": ""s4"", ""type"": ""backbone"", ""bw_mbps"": 60, ""delay_ms"": 3.0, ""loss_pct"": 0.005, ""jitter_ms"": 0.5, ""queue_size"": 80, ""as"": 300, ""role"": ""cdn_edge""}, {""hop"": 2, ""from"": ""s4"", ""to"": ""s5"", ""type"": ""backbone"", ""bw_mbps"": 80, ""delay_ms"": 1.0, ""loss_pct"": 0.001, ""jitter_ms"": 0.1, ""queue_size"": 150, ""as"": 300, ""role"": ""cdn_origin""}, {""hop"": 3, ""from"": ""s5"", ""to"": ""origin"", ""type"": ""access"", ""bw_mbps"": 80, ""delay_ms"": 0.5, ""loss_pct"": 0, ""as"": 300, ""role"": ""cdn_origin""}]"
1785385159.429804,origin,root1,10.5.0.1,10.1.0.1,300,100,l2_learn,"[""s5"", ""s4"", ""s1""]","[300, 100]",3,4,5.0,10.0,0.006,50,10.839,10.349,11.677,0.0,"[{""hop"": 0, ""from"": ""origin"", ""to"": ""s5"", ""type"": ""access"", ""bw_mbps"": 80, ""delay_ms"": 0.5, ""loss_pct"": 0, ""as"": 300, ""role"": ""cdn_origin""}, {""hop"": 1, ""from"": ""s5"", ""to"": ""s4"", ""type"": ""backbone"", ""bw_mbps"": 80, ""delay_ms"": 1.0, ""loss_pct"": 0.001, ""jitter_ms"": 0.1, ""queue_size"": 150, ""as"": 300, ""role"": ""cdn_edge""}, {""hop"": 2, ""from"": ""s4"", ""to"": ""s1"", ""type"": ""backbone"", ""bw_mbps"": 60, ""delay_ms"": 3.0, ""loss_pct"": 0.005, ""jitter_ms"": 0.5, ""queue_size"": 80, ""as"": 100, ""role"": ""tier1_core""}, {""hop"": 3, ""from"": ""s1"", ""to"": ""root1"", ""type"": ""access"", ""bw_mbps"": 50, ""delay_ms"": 0.5, ""loss_pct"": 0, ""as"": 100, ""role"": ""tier1_core""}]"
1785385161.4787471,root1,corp1,10.1.0.1,10.7.0.1,100,400,l2_learn,"[""s1"", ""s4"", ""s6"", ""s7""]","[100, 300, 400]",4,5,21.5,43.0,0.085,20,48.905,43.728,58.017,0.0,"[{""hop"": 0, ""from"": ""root1"", ""to"": ""s1"", ""type"": ""access"", ""bw_mbps"": 50, ""delay_ms"": 0.5, ""loss_pct"": 0, ""as"": 100, ""role"": ""tier1_core""}, {""hop"": 1, ""from"": ""s1"", ""to"": ""s4"", ""type"": ""backbone"", ""bw_mbps"": 60, ""delay_ms"": 3.0, ""loss_pct"": 0.005, ""jitter_ms"": 0.5, ""queue_size"": 80, ""as"": 300, ""role"": ""cdn_edge""}, {""hop"": 2, ""from"": ""s4"", ""to"": ""s6"", ""type"": ""peering"", ""bw_mbps"": 20, ""delay_ms"": 15.0, ""loss_pct"": 0.02, ""jitter_ms"": 2.0, ""queue_size"": 35, ""as"": 400, ""role"": ""enterprise_core""}, {""hop"": 3, ""from"": ""s6"", ""to"": ""s7"", ""type"": ""backbone"", ""bw_mbps"": 50, ""delay_ms"": 1.0, ""loss_pct"": 0.01, ""jitter_ms"": 0.3, ""queue_size"": 80, ""as"": 400, ""role"": ""enterprise_access""}, {""hop"": 4, ""from"": ""s7"", ""to"": ""corp1"", ""type"": ""access"", ""bw_mbps"": 20, ""delay_ms"": 2.0, ""loss_pct"": 0.05, ""as"": 400, ""role"": ""enterprise_access""}]"
1785385163.5292678,corp1,root1,10.7.0.1,10.1.0.1,400,100,l2_learn,"[""s7"", ""s6"", ""s4"", ""s1""]","[400, 300, 100]",4,5,21.5,43.0,0.085,20,43.918,43.443,44.539,0.0,"[{""hop"": 0, ""from"": ""corp1"", ""to"": ""s7"", ""type"": ""access"", ""bw_mbps"": 20, ""delay_ms"": 2.0, ""loss_pct"": 0.05, ""as"": 400, ""role"": ""enterprise_access""}, {""hop"": 1, ""from"": ""s7"", ""to"": ""s6"", ""type"": ""backbone"", ""bw_mbps"": 50, ""delay_ms"": 1.0, ""loss_pct"": 0.01, ""jitter_ms"": 0.3, ""queue_size"": 80, ""as"": 400, ""role"": ""enterprise_core""}, {""hop"": 2, ""from"": ""s6"", ""to"": ""s4"", ""type"": ""peering"", ""bw_mbps"": 20, ""delay_ms"": 15.0, ""loss_pct"": 0.02, ""jitter_ms"": 2.0, ""queue_size"": 35, ""as"": 300, ""role"": ""cdn_edge""}, {""hop"": 3, ""from"": ""s4"", ""to"": ""s1"", ""type"": ""backbone"", ""bw_mbps"": 60, ""delay_ms"": 3.0, ""loss_pct"": 0.005, ""jitter_ms"": 0.5, ""queue_size"": 80, ""as"": 100, ""role"": ""tier1_core""}, {""hop"": 4, ""from"": ""s1"", ""to"": ""root1"", ""type"": ""access"", ""bw_mbps"": 50, ""delay_ms"": 0.5, ""loss_pct"": 0, ""as"": 100, ""role"": ""tier1_core""}]"
