routing,ts,src,dst,src_ip,dst_ip,loss_pct,rtt_min,rtt_avg,rtt_max,rtt_mdev
l2_learn,1785385382.0665214,home1,home2,10.9.0.1,10.9.0.2,0.0,70.069,70.121,70.213,0.065
l2_learn,1785385384.0977669,corp1,isp_gw,10.7.0.1,10.2.0.1,0.0,28.16,29.746,32.7,2.09
l2_learn,1785385387.1013913,mob1,root1,10.8.0.1,10.1.0.1,33.3333,153.175,153.367,153.559,0.192
l2_learn,1785385399.1089425,origin,cdn2,10.5.0.1,10.4.0.2,0.0,3.461,5.675,9.562,2.757
l2_learn,1785385401.1240048,corp2,corp1,10.7.0.2,10.7.0.1,0.0,10.041,10.903,12.623,1.215
l2_learn,1785385403.16793,origin,corp1,10.5.0.1,10.7.0.1,0.0,39.073,39.078,39.085,0.005
l2_learn,1785385415.217792,origin,corp2,10.5.0.1,10.7.0.2,0.0,41.091,41.096,41.101,0.004
l2_learn,1785385417.3001485,cdn1,corp1,10.4.0.1,10.7.0.1,0.0,36.446,36.665,37.079,0.292
l2_learn,1785385429.4997,cdn1,isp_gw,10.4.0.1,10.2.0.1,0.0,52.493,67.843,95.734,19.755
l2_learn,1785385431.6498563,cdn1,mob1,10.4.0.1,10.8.0.1,0.0,146.434,146.613,146.945,0.234
l2_learn,1785385435.106149,root1,home1,10.1.0.1,10.9.0.1,33.3333,109.486,111.853,114.221,2.367
l2_learn,1785385448.1579573,cdn2,isp_gw,10.4.0.2,10.2.0.1,33.3333,60.117,61.999,63.882,1.882
l2_learn,1785385450.224471,isp_gw,home1,10.2.0.1,10.9.0.1,0.0,62.063,62.23,62.528,0.211
l2_learn,1785385452.3881648,mob2,isp_gw,10.8.0.2,10.2.0.1,0.0,136.057,138.66,143.656,3.533
l2_learn,1785385466.3912764,cdn1,home1,10.4.0.1,10.9.0.1,66.6667,128.056,128.056,128.056,0.0
l2_learn,1785385468.472773,corp2,cdn1,10.7.0.2,10.4.0.1,0.0,38.443,237.311,635.031,281.23
l2_learn,1785385470.601497,home2,mob1,10.9.0.2,10.8.0.1,0.0,126.072,198.803,344.22,102.825
l2_learn,1785385482.7429998,cdn2,home2,10.4.0.2,10.9.0.2,0.0,112.452,115.898,122.752,4.846
l2_learn,1785385485.1621091,corp1,home1,10.7.0.1,10.9.0.1,0.0,78.079,78.348,78.881,0.376
l2_learn,1785385488.2664742,home2,mob2,10.9.0.2,10.8.0.2,33.3333,156.056,156.724,157.392,0.668
l2_learn,1785385500.3756936,cdn2,home1,10.4.0.2,10.9.0.1,0.0,102.526,104.784,109.027,3.002
l2_learn,1785385502.4221678,cdn2,origin,10.4.0.2,10.5.0.1,0.0,3.428,124.959,367.88,171.771
l2_learn,1785385504.6117682,corp2,root1,10.7.0.2,10.1.0.1,0.0,45.059,62.203,96.482,24.238
l2_learn,1785385520.9901135,isp_gw,home2,10.2.0.1,10.9.0.2,33.3333,2017.897,2023.155,2028.413,5.258
l2_learn,1785385523.064079,corp2,home1,10.7.0.2,10.9.0.1,0.0,70.055,73.578,80.233,4.708
l2_learn,1785385525.1663425,origin,home1,10.5.0.1,10.9.0.1,0.0,95.07,102.445,117.006,10.296
l2_learn,1785385538.1794207,mob1,cdn2,10.8.0.1,10.4.0.2,66.6667,146.027,146.027,146.027,0.0
l2_learn,1785385542.278473,mob2,origin,10.8.0.2,10.5.0.1,66.6667,169.057,169.057,169.057,0.0
l2_learn,1785385544.394377,cdn1,home2,10.4.0.1,10.9.0.2,0.0,102.487,102.497,102.509,0.009
l2_learn,1785385557.0862,cdn2,home2,10.4.0.2,10.9.0.2,0.0,102.486,103.143,104.322,0.835
l2_learn,1785385559.1974058,home2,cdn1,10.9.0.2,10.4.0.1,0.0,102.473,104.628,108.931,3.042
l2_learn,1785385561.4470649,home2,home1,10.9.0.2,10.9.0.1,0.0,70.037,209.924,489.698,197.829
l2_learn,1785385573.5408075,home1,corp2,10.9.0.1,10.7.0.2,0.0,85.128,377.073,955.876,409.28
l2_learn,1785385575.6413786,home1,cdn1,10.9.0.1,10.4.0.1,0.0,92.485,215.047,460.039,173.235
l2_learn,1785385577.7344472,corp1,home1,10.7.0.1,10.9.0.1,0.0,83.184,102.875,121.644,15.714
l2_learn,1785385589.842126,home2,cdn2,10.9.0.2,10.4.0.2,0.0,102.446,102.472,102.492,0.019
l2_learn,1785385591.9394827,cdn1,home1,10.4.0.1,10.9.0.1,0.0,92.462,92.6,92.85,0.176
l2_learn,1785385594.3181655,mob2,origin,10.8.0.2,10.5.0.1,0.0,169.1,169.254,169.551,0.21
l2_learn,1785385606.5214417,root1,mob1,10.1.0.1,10.8.0.1,0.0,143.053,143.322,143.834,0.361
l2_learn,1785385608.5902195,home2,isp_gw,10.9.0.2,10.2.0.1,0.0,62.043,62.067,62.083,0.017
l2_learn,1785385610.671503,home2,corp2,10.9.0.2,10.7.0.2,0.0,79.128,128.556,177.119,40.009
l2_learn,1785385622.706328,corp2,isp_gw,10.7.0.2,10.2.0.1,0.0,29.043,29.07,29.12,0.035
l2_learn,1785385624.7628658,isp_gw,home1,10.2.0.1,10.9.0.1,0.0,52.049,52.137,52.285,0.105
l2_learn,1785385629.3264627,mob2,corp2,10.8.0.2,10.7.0.2,33.3333,143.065,210.987,278.91,67.922
l2_learn,1785385641.518043,cdn2,mob2,10.4.0.2,10.8.0.2,0.0,166.464,166.487,166.501,0.016
l2_learn,1785385643.9331968,cdn2,home1,10.4.0.2,10.9.0.1,0.0,92.469,92.598,92.802,0.145
l2_learn,1785385656.073562,mob1,cdn2,10.8.0.1,10.4.0.2,0.0,136.443,136.871,137.728,0.605
l2_learn,1785385658.234045,home1,mob2,10.9.0.1,10.8.0.2,0.0,146.067,147.04,148.902,1.316
l2_learn,1785385660.442769,home1,cdn1,10.9.0.1,10.4.0.1,0.0,92.454,92.596,92.867,0.191
l2_learn,1785385673.0454214,mob2,mob1,10.8.0.2,10.8.0.1,0.0,190.044,190.877,192.535,1.172
l2_learn,1785385675.1573482,origin,home2,10.5.0.1,10.9.0.2,0.0,105.149,111.003,122.274,7.971
l2_learn,1785385678.3182757,home2,mob2,10.9.0.2,10.8.0.2,0.0,156.05,159.302,161.773,2.4
l2_learn,1785385691.3401232,isp_gw,corp1,10.2.0.1,10.7.0.1,33.3333,27.14,44.848,62.557,17.708
l2_learn,1785385693.4106977,home1,corp1,10.9.0.1,10.7.0.1,0.0,67.053,71.999,79.729,5.536
l2_learn,1785385695.5061746,cdn2,home2,10.4.0.2,10.9.0.2,0.0,87.463,87.467,87.469,0.003
l2_learn,1785385707.5480468,cdn1,isp_gw,10.4.0.1,10.2.0.1,0.0,37.452,49.481,73.398,16.911
l2_learn,1785385709.6416028,home2,origin,10.9.0.2,10.5.0.1,0.0,90.098,90.198,90.39,0.135
l2_learn,1785385711.7901368,home1,mob1,10.9.0.1,10.8.0.1,0.0,116.057,118.431,122.812,3.101
l2_learn,1785385724.9424696,mob1,cdn2,10.8.0.1,10.4.0.2,33.3333,121.48,121.488,121.496,0.008
l2_learn,1785385731.5551715,home1,mob1,10.9.0.1,10.8.0.1,0.0,116.048,116.174,116.424,0.176
l2_learn,1785385733.906293,corp1,origin,10.7.0.1,10.5.0.1,0.0,23.04,23.06,23.073,0.014
l2_learn,1785385746.9096267,cdn2,mob2,10.4.0.2,10.8.0.2,33.3333,151.452,151.835,152.219,0.383
l2_learn,1785385748.9942243,root1,cdn2,10.1.0.1,10.4.0.2,0.0,7.47,16.053,32.537,11.658
l2_learn,1785385751.2703526,home2,mob2,10.9.0.2,10.8.0.2,0.0,156.036,185.6,239.021,37.846
l2_learn,1785385767.1471968,corp2,cdn1,10.7.0.2,10.4.0.1,0.0,22.443,28.229,39.799,8.181
l2_learn,1785385769.2291653,corp1,home2,10.7.0.1,10.9.0.2,0.0,77.09,122.957,214.283,64.577
l2_learn,1785385771.2363265,cdn1,origin,10.4.0.1,10.5.0.1,0.0,3.434,3.557,3.764,0.147
l2_learn,1785385783.3937423,mob2,cdn1,10.8.0.2,10.4.0.1,0.0,151.468,151.52,151.621,0.071
l2_learn,1785385785.486091,cdn1,home2,10.4.0.1,10.9.0.2,0.0,87.508,91.403,99.174,5.494
l2_learn,1785385787.5698757,corp2,home2,10.7.0.2,10.9.0.2,0.0,79.099,79.349,79.838,0.345
l2_learn,1785385800.8653798,mob1,isp_gw,10.8.0.1,10.2.0.1,0.0,96.038,96.05,96.073,0.015
l2_learn,1785385803.0109096,corp1,mob2,10.7.0.1,10.8.0.2,0.0,141.066,144.498,151.058,4.64
l2_learn,1785385805.038599,cdn1,corp2,10.4.0.1,10.7.0.2,0.0,22.441,22.45,22.456,0.006
l2_learn,1785385817.0508907,root1,cdn1,10.1.0.1,10.4.0.1,0.0,7.43,7.532,7.737,0.144
l2_learn,1785385819.0826907,root1,corp1,10.1.0.1,10.7.0.1,0.0,27.041,27.049,27.065,0.011
l2_learn,1785385831.1552522,isp_gw,home2,10.2.0.1,10.9.0.2,0.0,62.06,62.067,62.077,0.007
l2_learn,1785385833.2367284,home1,cdn1,10.9.0.1,10.4.0.1,0.0,77.469,77.483,77.494,0.01
l2_learn,1785385835.6334674,mob2,root1,10.8.0.2,10.1.0.1,0.0,158.094,160.495,165.29,3.39
l2_learn,1785385848.7557778,cdn2,home2,10.4.0.2,10.9.0.2,0.0,87.486,87.693,88.094,0.283
l2_learn,1785385852.2142043,origin,mob1,10.5.0.1,10.8.0.1,0.0,124.087,229.464,437.151,146.861
l2_learn,1785385854.5870838,home2,mob1,10.9.0.2,10.8.0.1,0.0,126.065,127.898,131.312,2.416
l2_learn,1785385866.743822,home1,origin,10.9.0.1,10.5.0.1,0.0,80.074,80.089,80.119,0.021
l2_learn,1785385868.868288,home1,home2,10.9.0.1,10.9.0.2,0.0,70.031,70.654,71.896,0.878
l2_learn,1785385871.796501,mob2,isp_gw,10.8.0.2,10.2.0.1,0.0,126.077,128.457,133.011,3.221
l2_learn,1785385885.0293665,root1,mob2,10.1.0.1,10.8.0.2,0.0,158.058,158.277,158.677,0.283
l2_learn,1785385887.2635534,home2,root1,10.9.0.2,10.1.0.1,0.0,94.083,94.187,94.374,0.132
l2_learn,1785385890.2775788,isp_gw,mob1,10.2.0.1,10.8.0.1,33.3333,96.058,96.06,96.062,0.002
l2_learn,1785385902.4146228,corp2,isp_gw,10.7.0.2,10.2.0.1,0.0,29.055,29.187,29.45,0.185
l2_learn,1785385904.5673304,corp2,home2,10.7.0.2,10.9.0.2,0.0,79.077,482.314,812.899,303.954
l2_learn,1785385906.7598474,home1,cdn2,10.9.0.1,10.4.0.2,0.0,77.452,77.469,77.486,0.013
l2_learn,1785385918.8141706,isp_gw,origin,10.2.0.1,10.5.0.1,0.0,40.092,43.379,49.644,4.431
l2_learn,1785385921.0187888,mob2,root1,10.8.0.2,10.1.0.1,0.0,158.088,158.104,158.123,0.014
l2_learn,1785385933.1216042,root1,corp1,10.1.0.1,10.7.0.1,0.0,27.08,27.178,27.37,0.135
l2_learn,1785385935.2304645,home1,isp_gw,10.9.0.1,10.2.0.1,0.0,52.078,52.12,52.203,0.058
l2_learn,1785385937.315447,home1,cdn2,10.9.0.1,10.4.0.2,0.0,77.448,78.848,81.199,1.672
l2_learn,1785385949.9951038,origin,cdn1,10.5.0.1,10.4.0.1,0.0,3.436,5.239,8.72,2.461
l2_learn,1785385952.0314796,isp_gw,corp2,10.2.0.1,10.7.0.2,0.0,29.042,29.055,29.067,0.01
l2_learn,1785385954.1259327,home2,cdn2,10.9.0.2,10.4.0.2,0.0,87.476,87.748,88.272,0.37
l2_learn,1785385967.8745306,mob2,cdn1,10.8.0.2,10.4.0.1,33.3333,151.455,151.988,152.521,0.533
l2_learn,1785385970.1014,origin,mob2,10.5.0.1,10.8.0.2,0.0,154.064,154.081,154.093,0.012
l2_learn,1785385972.2949283,mob1,mob2,10.8.0.1,10.8.0.2,0.0,190.05,194.123,202.261,5.754
l2_learn,1785385985.3184426,cdn1,corp2,10.4.0.1,10.7.0.2,33.3333,22.452,22.554,22.656,0.102
l2_learn,1785385987.5724163,corp2,isp_gw,10.7.0.2,10.2.0.1,0.0,29.065,29.209,29.492,0.2
l2_learn,1785385989.659248,cdn1,cdn2,10.4.0.1,10.4.0.2,0.0,0.818,0.828,0.841,0.009
l2_learn,1785386001.7514777,cdn1,home2,10.4.0.1,10.9.0.2,0.0,87.475,114.494,168.476,38.171
l2_learn,1785386003.9520185,cdn2,home2,10.4.0.2,10.9.0.2,0.0,87.45,87.458,87.472,0.009
l2_learn,1785386016.0426502,home2,origin,10.9.0.2,10.5.0.1,0.0,90.065,97.397,111.309,9.841
l2_learn,1785386018.1461928,corp2,root1,10.7.0.2,10.1.0.1,0.0,75.432,87.35,95.557,8.625
l2_learn,1785386020.1781456,corp2,cdn1,10.7.0.2,10.4.0.1,0.0,22.438,22.516,22.65,0.094
l2_learn,1785386032.22033,root1,corp2,10.1.0.1,10.7.0.2,0.0,26.048,26.122,26.235,0.081
l2_learn,1785386035.8101904,cdn1,corp1,10.4.0.1,10.7.0.1,0.0,20.453,20.678,21.114,0.307
l2_learn,1785386049.063338,root1,corp1,10.1.0.1,10.7.0.1,33.3333,614.462,616.255,618.048,1.793
l2_learn,1785386061.3344536,mob2,home1,10.8.0.2,10.9.0.1,0.0,146.041,150.558,159.353,6.219
l2_learn,1785386063.435078,isp_gw,mob1,10.2.0.1,10.8.0.1,0.0,96.06,96.393,97.049,0.463
l2_learn,1785386065.6501625,home1,mob2,10.9.0.1,10.8.0.2,0.0,146.047,146.063,146.089,0.018
l2_learn,1785386078.734145,mob1,mob2,10.8.0.1,10.8.0.2,33.3333,190.044,296.921,403.798,106.877
l2_learn,1785386080.8886335,mob2,cdn1,10.8.0.2,10.4.0.1,0.0,151.447,152.321,154.05,1.222
l2_learn,1785386083.0950515,origin,mob1,10.5.0.1,10.8.0.1,0.0,124.072,124.093,124.11,0.015
l2_learn,1785386095.2202642,mob1,corp1,10.8.0.1,10.7.0.1,0.0,111.077,115.567,124.233,6.129
l2_learn,1785386098.9582186,cdn2,origin,10.4.0.2,10.5.0.1,0.0,1675.163,2699.792,3725.403,837.007
l2_learn,1785386102.041712,origin,mob2,10.5.0.1,10.8.0.2,33.3333,154.082,154.102,154.123,0.02
l2_learn,1785386115.614143,root1,corp2,10.1.0.1,10.7.0.2,0.0,26.043,26.231,26.443,0.164
l2_learn,1785386118.0216968,isp_gw,corp2,10.2.0.1,10.7.0.2,0.0,29.063,29.09,29.135,0.031
l2_learn,1785386120.3408673,corp2,mob2,10.7.0.2,10.8.0.2,0.0,319.319,326.289,331.484,5.122
l2_learn,1785386132.905423,cdn1,home1,10.4.0.1,10.9.0.1,0.0,158.42,273.038,348.526,82.395
l2_learn,1785386135.218463,corp1,home2,10.7.0.1,10.9.0.2,0.0,307.074,335.771,380.583,32.1
l2_learn,1785386137.225746,origin,cdn1,10.5.0.1,10.4.0.1,0.0,3.431,4.874,7.524,1.876
l2_learn,1785386150.1374023,corp1,home1,10.7.0.1,10.9.0.1,0.0,67.076,103.512,175.127,50.642
l2_learn,1785386152.158269,cdn1,cdn2,10.4.0.1,10.4.0.2,0.0,0.838,1.597,3.111,1.07
l2_learn,1785386154.314138,home1,mob2,10.9.0.1,10.8.0.2,0.0,146.083,149.872,156.531,4.723
l2_learn,1785386166.3993526,home2,corp1,10.9.0.2,10.7.0.1,0.0,77.079,77.638,78.756,0.79
l2_learn,1785386168.4781892,corp1,cdn1,10.7.0.1,10.4.0.1,0.0,20.453,20.459,20.468,0.006
l2_learn,1785386170.6352656,mob2,cdn1,10.8.0.2,10.4.0.1,0.0,151.458,151.522,151.632,0.078
l2_learn,1785386182.7611442,cdn2,mob1,10.4.0.2,10.8.0.1,0.0,121.451,121.474,121.495,0.018
l2_learn,1785386184.804825,isp_gw,cdn1,10.2.0.1,10.4.0.1,0.0,37.463,40.41,46.166,4.07
l2_learn,1785386200.957459,cdn2,root1,10.4.0.2,10.1.0.1,0.0,4.441,7.955,14.718,4.783
l2_learn,1785386203.0568068,mob1,isp_gw,10.8.0.1,10.2.0.1,0.0,96.058,102.285,114.492,8.632
l2_learn,1785386215.156585,corp1,origin,10.7.0.1,10.5.0.1,0.0,23.07,23.072,23.074,0.001
l2_learn,1785386217.2182207,cdn1,isp_gw,10.4.0.1,10.2.0.1,0.0,37.462,40.571,46.581,4.25
l2_learn,1785386219.3736334,origin,mob1,10.5.0.1,10.8.0.1,0.0,124.094,124.215,124.43,0.152
l2_learn,1785386231.8701854,mob2,home1,10.8.0.2,10.9.0.1,0.0,146.048,147.238,148.623,1.06
l2_learn,1785386235.03831,mob2,cdn2,10.8.0.2,10.4.0.2,0.0,151.475,151.485,151.504,0.013
l2_learn,1785386237.3623774,isp_gw,origin,10.2.0.1,10.5.0.1,0.0,40.086,44.235,49.351,3.843
l2_learn,1785386249.398143,isp_gw,corp2,10.2.0.1,10.7.0.2,0.0,29.071,29.094,29.13,0.025
l2_learn,1785386251.4256775,corp2,cdn1,10.7.0.2,10.4.0.1,0.0,22.44,22.451,22.458,0.008
