routing,ts,type,client,server,proto,rate,load_factor,status,response_ms,severity,rebuffer,buffer_ratio
l2_learn,1785385380.0268755,tcp_cc_set,corp1,,config,cubic,,,,,,
l2_learn,1785385380.0275156,tcp_cc_set,corp2,,config,reno,,,,,,
l2_learn,1785385380.0275495,tcp_cc_set,home1,,config,reno,,,,,,
l2_learn,1785385380.028127,tcp_cc_set,home2,,config,reno,,,,,,
l2_learn,1785385380.028703,tcp_cc_set,mob1,,config,bbr,,,,,,
l2_learn,1785385380.0292892,tcp_cc_set,mob2,,config,bbr,,,,,,
l2_learn,1785385380.029574,background,corp1,origin,tcp,100K,,,,,,
l2_learn,1785385380.029855,background,corp2,isp_gw,tcp,50K,,,,,,
l2_learn,1785385380.029896,background,home1,isp_gw,tcp,50K,,,,,,
l2_learn,1785385380.0302124,background,home2,origin,tcp,50K,,,,,,
l2_learn,1785385380.0305593,background,mob1,isp_gw,tcp,100K,,,,,,
l2_learn,1785385380.0308497,background,mob2,origin,tcp,30K,,,,,,
l2_learn,1785385380.0309997,https,home1,origin,tcp,255K,0.23,,,,,
l2_learn,1785385380.344334,http,mob1,cdn2,tcp,GET:small.bin,,301.0,312.8,,,
l2_learn,1785385380.8348043,video,mob1,cdn1,udp,969K,0.24,,,,,
l2_learn,1785385381.9690747,http,home2,cdn1,tcp,GET:index.html,,200.0,235.41,,,
l2_learn,1785385382.0383413,web,corp2,root1,tcp,448K,0.25,,,,,
l2_learn,1785385383.127543,http,home2,root1,tcp,GET:medium.bin,,200.0,497.77,,,
l2_learn,1785385383.6770167,bulk,home1,origin,tcp,2410K,0.31,,,,,
l2_learn,1785385384.974048,https,home2,cdn2,tcp,438K,0.29,,,,,
l2_learn,1785385385.4635656,http,mob2,origin,tcp,POST:large.bin,,200.0,998.64,,,
l2_learn,1785385385.7422829,web,home2,cdn1,tcp,81K,0.3,,,,,
l2_learn,1785385386.353027,web,home1,root1,tcp,158K,0.25,,,,,
l2_learn,1785385387.5624502,p2p,corp1,origin,tcp,879K,0.28,,,,,
l2_learn,1785385387.703359,http,corp1,origin,tcp,POST:small.bin,,200.0,948.39,,,
l2_learn,1785385388.2742484,dns,corp2,origin,udp,5K,0.28,,,,,
l2_learn,1785385388.9165237,http,mob2,cdn1,tcp,GET:small.bin,,200.0,366.45,,,
l2_learn,1785385390.1626234,gaming,mob1,origin,udp,23K,0.28,,,,,
l2_learn,1785385390.210932,http,home2,cdn2,tcp,GET:medium.bin,,500.0,461.9,,,
l2_learn,1785385391.6111465,email,corp2,isp_gw,tcp,12K,0.27,,,,,
l2_learn,1785385392.0920455,http,mob1,origin,tcp,POST:medium.bin,,200.0,935.96,,,
l2_learn,1785385392.240038,video,corp2,cdn1,udp,887K,0.23,,,,,
l2_learn,1785385393.016172,ssh,corp1,cdn1,tcp,7K,0.32,,,,,
l2_learn,1785385394.0249038,http,corp2,isp_gw,tcp,GET:large.bin,,200.0,1298.24,,,
l2_learn,1785385394.1733344,dns,corp1,cdn2,udp,2K,0.23,,,,,
l2_learn,1785385395.1715767,video,home2,cdn2,udp,328K,0.29,,,,,
l2_learn,1785385395.1952178,http,home1,isp_gw,tcp,GET:medium.bin,,200.0,0.01,,,
l2_learn,1785385395.9572833,http,home1,root1,tcp,GET:index.html,,200.0,222.15,,,
l2_learn,1785385396.3546357,http,home2,cdn1,tcp,GET:small.bin,,200.0,0.02,,,
l2_learn,1785385396.673077,https,home1,cdn1,tcp,137K,0.27,,,,,
l2_learn,1785385396.845392,http,corp1,isp_gw,tcp,GET:large.bin,,200.0,188.7,,,
l2_learn,1785385397.643366,http,corp1,cdn1,tcp,GET:index.html,,200.0,0.02,,,
l2_learn,1785385398.1158645,p2p,mob2,isp_gw,tcp,1386K,0.29,,,,,
l2_learn,1785385398.6366072,http,corp2,cdn2,tcp,GET:medium.bin,,200.0,167.19,,,
l2_learn,1785385399.3891387,p2p,mob2,cdn1,tcp,1132K,0.27,,,,,
l2_learn,1785385400.1350038,http,corp1,cdn2,tcp,GET:medium.bin,,200.0,152.38,,,
l2_learn,1785385400.6423104,streaming,mob1,root1,tcp,962K,0.3,,,,,
l2_learn,1785385401.6224604,http,mob2,origin,tcp,GET:index.html,,200.0,927.54,,,
l2_learn,1785385402.36344,video,home1,origin,udp,1116K,0.3,,,,,
l2_learn,1785385402.6843295,http,mob1,cdn1,tcp,GET:medium.bin,,200.0,601.01,,,
l2_learn,1785385402.7717566,gaming,home1,cdn1,udp,28K,0.28,,,,,
l2_learn,1785385404.3681085,bulk,home2,cdn2,tcp,965K,0.22,,,,,
l2_learn,1785385405.590124,https,home2,origin,tcp,698K,0.25,,,,,
l2_learn,1785385405.9065175,streaming,corp1,cdn2,tcp,329K,0.23,,,,,
l2_learn,1785385406.1103847,http,home2,cdn1,tcp,GET:large.bin,,200.0,2435.52,,,
l2_learn,1785385406.305828,web,home2,isp_gw,tcp,416K,0.25,,,,,
l2_learn,1785385406.8707032,http,mob2,isp_gw,tcp,GET:index.html,,200.0,276.76,,,
l2_learn,1785385407.0687854,dns,mob1,root1,udp,5K,0.3,,,,,
l2_learn,1785385407.6518786,web,mob1,cdn1,tcp,257K,0.3,,,,,
l2_learn,1785385409.055187,http,home2,isp_gw,tcp,GET:index.html,,200.0,691.77,,,
l2_learn,1785385409.1106987,streaming,corp1,origin,tcp,707K,0.24,,,,,
l2_learn,1785385409.794179,web,mob2,cdn1,tcp,140K,0.3,,,,,
l2_learn,1785385410.4798148,http,home1,root1,tcp,GET:index.html,,200.0,225.53,,,
l2_learn,1785385411.4584358,video,corp2,cdn1,udp,258K,0.31,,,,,
l2_learn,1785385411.828567,http,mob1,root1,tcp,GET:index.html,,200.0,498.35,,,
l2_learn,1785385412.6346004,web,home2,isp_gw,tcp,155K,0.23,,,,,
l2_learn,1785385413.417027,http,home2,isp_gw,tcp,GET:large.bin,,200.0,813.64,,,
l2_learn,1785385414.1403005,ssh,corp1,cdn2,tcp,11K,0.22,,,,,
l2_learn,1785385414.2743816,http,mob1,cdn2,tcp,GET:small.bin,,404.0,371.54,,,
l2_learn,1785385414.7581992,video,home2,isp_gw,udp,178K,0.26,,,,,
l2_learn,1785385415.9995544,http,mob2,origin,tcp,GET:index.html,,200.0,444.87,,,
l2_learn,1785385416.7021005,https,corp1,root1,tcp,545K,0.24,,,,,
l2_learn,1785385418.2332275,p2p,home2,cdn2,tcp,161K,0.26,,,,,
l2_learn,1785385419.940801,dns,mob2,root1,udp,2K,0.27,,,,,
l2_learn,1785385420.4522238,http,mob2,isp_gw,tcp,POST:small.bin,,200.0,3215.47,,,
l2_learn,1785385421.332172,dns,home1,isp_gw,udp,1K,0.2,,,,,
l2_learn,1785385422.3306894,video,corp2,cdn1,udp,893K,0.23,,,,,
l2_learn,1785385422.925891,https,home1,isp_gw,tcp,257K,0.28,,,,,
l2_learn,1785385423.672715,gaming,home1,cdn1,udp,29K,0.22,,,,,
l2_learn,1785385424.151817,http,corp1,origin,tcp,POST:large.bin,,200.0,2456.0,,,
l2_learn,1785385424.4304326,dns,home1,root1,udp,3K,0.2,,,,,
l2_learn,1785385425.4956815,video,corp2,root1,udp,301K,0.21,,,,,
l2_learn,1785385427.4045303,http,corp2,isp_gw,tcp,GET:medium.bin,,304.0,146.32,,,
l2_learn,1785385427.4304752,cloud,mob2,cdn1,tcp,524K,0.29,,,,,
l2_learn,1785385428.1332626,web,corp2,root1,tcp,131K,0.22,,,,,
l2_learn,1785385428.5783365,bulk,corp2,cdn2,tcp,1022K,0.27,,,,,
l2_learn,1785385428.8087485,http,corp1,cdn1,tcp,GET:medium.bin,,200.0,153.91,,,
l2_learn,1785385429.547382,ssh,home2,cdn2,tcp,6K,0.22,,,,,
l2_learn,1785385429.9342072,http,home1,origin,tcp,GET:small.bin,,503.0,267.05,,,
l2_learn,1785385429.9527545,https,corp2,root1,tcp,98K,0.2,,,,,
l2_learn,1785385431.3138485,http,home1,isp_gw,tcp,GET:large.bin,,200.0,402.4,,,
l2_learn,1785385431.71232,iot,corp1,cdn2,udp,0K,0.2,,,,,
l2_learn,1785385432.5287666,web,mob2,root1,tcp,324K,0.22,,,,,
l2_learn,1785385433.5841448,iot,mob1,isp_gw,udp,2K,0.28,,,,,
l2_learn,1785385434.3541236,video,corp2,root1,udp,416K,0.19,,,,,
l2_learn,1785385434.714945,voip,mob1,isp_gw,udp,14K,0.19,,,,,
l2_learn,1785385435.6047351,bulk,corp1,root1,tcp,1300K,0.2,,,,,
l2_learn,1785385436.1252296,voip,corp1,cdn1,udp,9K,0.19,,,,,
l2_learn,1785385437.6389856,cloud,corp2,isp_gw,tcp,471K,0.25,,,,,
l2_learn,1785385438.8596776,http,mob1,cdn2,tcp,GET:small.bin,,200.0,6310.32,,,
l2_learn,1785385439.3585331,voip,corp2,root1,udp,18K,0.28,,,,,
l2_learn,1785385440.1981046,video,corp2,isp_gw,udp,628K,0.28,,,,,
l2_learn,1785385440.8949642,web,home2,cdn1,tcp,541K,0.28,,,,,
l2_learn,1785385442.2303755,http,mob2,root1,tcp,POST:index.html,,200.0,2246.52,,,
l2_learn,1785385442.513379,iot,mob1,root1,udp,0K,0.24,,,,,
l2_learn,1785385442.6621993,http,corp2,cdn2,tcp,GET:index.html,,200.0,111.89,,,
l2_learn,1785385444.2400038,web,home1,root1,tcp,128K,0.22,,,,,
l2_learn,1785385444.6189654,http,home2,isp_gw,tcp,GET:medium.bin,,500.0,1284.81,,,
l2_learn,1785385445.0324883,streaming,home2,root1,tcp,237K,0.19,,,,,
l2_learn,1785385445.923761,web,mob1,cdn1,tcp,156K,0.18,,,,,
l2_learn,1785385445.952702,http,home2,root1,tcp,GET:small.bin,,200.0,645.53,,,
l2_learn,1785385447.87248,dns,mob2,origin,udp,3K,0.25,,,,,
l2_learn,1785385448.814968,ssh,home1,origin,tcp,3K,0.21,,,,,
l2_learn,1785385449.9372044,voip,corp2,cdn1,udp,18K,0.25,,,,,
l2_learn,1785385451.4710386,http,corp1,root1,tcp,GET:large.bin,,200.0,4408.43,,,
l2_learn,1785385451.7229598,ssh,corp2,origin,tcp,4K,0.25,,,,,
l2_learn,1785385454.8102114,http,corp2,root1,tcp,GET:large.bin,,200.0,2039.53,,,
l2_learn,1785385456.253082,iot,corp2,cdn1,udp,0K,0.21,,,,,
l2_learn,1785385457.803176,http,mob2,cdn2,tcp,GET:index.html,,200.0,1539.87,,,
l2_learn,1785385458.0650618,https,mob1,origin,tcp,222K,0.2,,,,,
l2_learn,1785385459.0964117,dns,corp2,isp_gw,udp,1K,0.19,,,,,
l2_learn,1785385459.4846654,https,corp1,cdn2,tcp,447K,0.21,,,,,
l2_learn,1785385459.4933891,http,home1,origin,tcp,GET:large.bin,,200.0,618.89,,,
l2_learn,1785385460.822373,bulk,mob2,cdn2,tcp,985K,0.18,,,,,
l2_learn,1785385461.706428,bulk,home1,cdn2,tcp,522K,0.19,,,,,
l2_learn,1785385462.2302308,http,corp2,cdn2,tcp,GET:small.bin,,200.0,2284.51,,,
l2_learn,1785385463.714012,web,home2,isp_gw,tcp,459K,0.26,,,,,
l2_learn,1785385464.8293903,dns,home2,cdn1,udp,2K,0.23,,,,,
l2_learn,1785385465.1369882,bulk,mob1,isp_gw,tcp,633K,0.21,,,,,
l2_learn,1785385465.8775868,web,home2,root1,tcp,318K,0.21,,,,,
